subject_candidacy_id,prior_candidacy_id,sol_disposition,identity_bridge,evidence_urls,rationale
"can_87691f4eaa3b5fad89bc09b6719b79e5","can_04e8be326c9e5e3c81eb1488c6321d64","upgrade_to_confirm","The candidate-controlled 2026 Ward 9 biography explicitly says Mammoliti previously served as TDSB trustee and vice-chair.","https://www.mammolitifortrustee.ca/|https://www.senecapolytechnic.ca/pathways/successbeyond/christopher-mammoliti.html|https://www.toronto.ca/wp-content/uploads/2018/10/97da-2018clerksofficialdeclarationofresults.pdf","The current campaign directly claims the former trustee service and repeats distinctive Seneca and public-service biography corroborated by institutional and official records."
"can_87691f4eaa3b5fad89bc09b6719b79e5","can_910c3031a66e5d91978ea8cb4b25fd15","upgrade_to_confirm","CityNews identifies the 2022 council candidate as the same four-year TDSB trustee and former vice-chair described by the current campaign.","https://www.mammolitifortrustee.ca/|https://toronto.citynews.ca/2022/08/09/mammoliti-son-toronto-council/|https://emeryvillagevoice.ca/Meet-Your-Ward-7-Humber-River---Black-Creek-2022-election-candidates|https://www.toronto.ca/wp-content/uploads/2022/10/9085-FinalDeclaration-of-Results-for-the-2022-Toronto-Municipal-Election.pdf","The current campaign bridges to the trustee identity and contemporaneous reputable reporting bridges that same trustee identity to the 2022 council occurrence."
"can_b400c405df765e08a0a6a8644aaa701d","can_fa9c637a84aa5e7dada0277080207ead","retain_hold","Contemporary 2012 and 2018 reports share the bilingual name 楊天明 (Sonny Yeung) but do not explicitly identify one person.","https://www.toronto.ca/wp-content/uploads/2017/08/967f-2012-byelection-tdsb-ward17-ward20-declarationofresults.pdf|https://www.epochtimes.com/b5/12/2/28/n3525091.htm|https://www.epochtimes.com/b5/18/9/5/n10693720.htm|https://frightlibrary.org/sonny2022/sonny/sonnyindex.htm","The bilingual-name match strengthens the lead and rejects unrelated Hong Kong collisions, but no qualifying biographical or explicit bridge was found."
"can_578ca769a6ce55f68cce5609ee2d0a36","can_92b1205a3d545d4596280bf1acf6e38b","retain_hold","No current source identifies the 2026 filer as the professor of ethics who ran in 2018.","https://elections.ontarioschooltrustees.org/ResourceToolKit/2018Election/Query.aspx?board=Toronto+Catholic+District+School+Board&lang=en|https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json","The same full name and ward remain persuasive, but Sol found no qualifying bridge beyond the two election records."
"can_656fcfdc512c5d22b05715336b449ee6","can_e44a26fb0d53557b89fed4f2ba630e22","retain_hold","No current source links the 2022 retired teacher in Ward 11 to the 2026 Ward 7 filing.","https://beachmetro.com/2022/10/05/toronto-votes-2022-ward-11-toronto-catholic-district-school-board-trustee-candidate-celine-dinova-profile/|https://tcdsbpublishing.escribemeetings.com/filestream.ashx?DocumentId=29649|https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json","The DiNova/Dinova style variation and later board engagement are compatible, but no qualifying bridge beyond name and TCDSB context was found."
"can_89044a41dd6059df8e8c780e41562ab7","can_68b313b784ef5e5a960c7e84f1e307ea","retain_hold","New reporting shows historical Dewitt Lee was Dewitt Lee III, but no source explicitly links the 2022 and 2026 trustee occurrences.","https://thecaribbeancamera.com/lee-takes-second-try-at-mayoralty/|https://thelocal.to/ward-8-eglinton-lawrence/|https://tubmancommunity.org/board-members|https://www.toronto.ca/wp-content/uploads/2022/10/9085-FinalDeclaration-of-Results-for-the-2022-Toronto-Municipal-Election.pdf|https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json","Sol substantially weakened the earlier suffix-based collision concern, yet no qualifying current-to-2022 bridge was found, so the assigned occurrence remains held."
"can_a9f750bd470c5703b5be465e2dbc65fe","can_cf9f2b299db85ff9a9e56608c0ee834a","retain_hold","No current biography or archived campaign page connects the mayoral and trustee candidates.","https://www.toronto.ca/wp-content/uploads/2023/06/900e-Declaration-of-Results-for-the-2023-Toronto-By-Election-for-Mayor.pdf|https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json","Sol found no qualifying bridge beyond exact name; a current news list added no biography and misspelled the surname."
"can_5d2f89362ab7548b817c10597e7bff66","can_3aa45ac3e06a5fb89a235aee4695a81c","retain_hold","The Local links 2019 and 2021 federal runs to the 2025 trustee candidate, but not that cluster to 2026.","https://thelocal.to/apple_news_posts/don-valley-west-tdsb-trustee-by-election/|https://www.elections.ca/res/rep/off/ovr2019app/51/data_donnees/pollresults_resultatsbureau35.zip|https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json","The federal-to-2025 historical cluster is preserved, but Sol found no qualifying source connecting it to the certified Ward 5 filing."
"can_5d2f89362ab7548b817c10597e7bff66","can_4053c96a4b2053e28771da688f4ced39","retain_hold","The Local links 2019 and 2021 federal runs to the 2025 trustee candidate, but not that cluster to 2026.","https://thelocal.to/apple_news_posts/don-valley-west-tdsb-trustee-by-election/|https://www.elections.ca/res/rep/off/ovr2021app/53/data_donnees/pollresults_resultatsbureau35.zip|https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json","The federal-to-2025 historical cluster is preserved, but Sol found no qualifying source connecting it to the certified Ward 5 filing."
"can_5d2f89362ab7548b817c10597e7bff66","can_d074d6ed5ffe5c9a9e8b97e60c65806b","retain_hold","No source identifies the 2025 Ward 11 trustee candidate as the 2026 Ward 5 filer.","https://www.tdsb.on.ca/Leadership/Agendas-Minutes-Decisions/Type/M/Year/2025?Filename=250416.pdf|https://thelocal.to/apple_news_posts/don-valley-west-tdsb-trustee-by-election/|https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json","The 2025 result and its federal history are reliable, but Sol found no qualifying bridge to the current filing beyond exact name."
