subject_candidacy_id,prior_candidacy_id,sol_disposition,identity_bridge,evidence_urls,rationale
can_d6ebf240b3f35a67acc9e1ffc80d4ddf,can_196ef149d4b55aa390997a641054fea2,upgrade_to_confirm,"The official 2026 filing and the 2025 candidate questionnaire share andrewwaters.ca and candidate@andrewwaters.ca.","https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json|https://www.andrewwaters.ca/|https://nsscouncil.com/wp-content/uploads/2025/02/NSSC-Questions-Andrew-Waters.pdf|https://www.tdsb.on.ca/Leadership/Agendas-Minutes-Decisions/Type/M/Year/2025?Filename=250416.pdf","The stable candidate-controlled domain and email directly connect the certified filer to the official 2025 by-election occurrence."
can_d4ab584a9bbd5256acfef42edaf29d1e,can_c37933fd477b5629ad64460e91bbbef5,retain_hold,"The Local explicitly joins the 2018 and 2022 historical campaigns but no source links that historical person to the 2026 filing.","https://www.gianfrancocristiano.com/|https://www.toronto.ca/wp-content/uploads/2018/10/97da-2018clerksofficialdeclarationofresults.pdf|https://thelocal.to/ward-6-york-centre/|https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json","No qualifying bridge was found from the established historical chain to the certified 2026 candidate."
can_d4ab584a9bbd5256acfef42edaf29d1e,can_64ed3984473f53eab04717cd9ff09d7e,retain_hold,"The campaign and Labour sources establish the 2022 occurrence but no source links that historical person to the 2026 filing.","https://www.gianfrancocristiano.com/|https://www.labourcouncil.ca/2022-municipal-election/|https://www.toronto.ca/wp-content/uploads/2022/10/9085-FinalDeclaration-of-Results-for-the-2022-Toronto-Municipal-Election.pdf|https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json","No qualifying bridge was found from the established historical chain to the certified 2026 candidate."
can_d408d29fb4c353eb9f90086e7df9836c,can_d67e11727b1451fb9274cdd1ca9a1c2a,retain_hold,"The official records share an uncommon exact name but provide no cross-occurrence identity statement.","https://www.toronto.ca/city-government/elections/past-election-information/2010-election/|https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json","No qualifying bridge was found; name equality alone is insufficient and no evidence supports rejection."
can_f41f04d241c35894a49f580c4eaab821,can_bda100fd63615327aa742f9a6c11326e,retain_hold,"The federal occurrences form one prior identity but the current trustee filing has no contact or biographical anchor connecting it to that person.","https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json|https://www.elections.ca/res/rep/off/ovrGE45/62/table12E.html|https://governingcouncil.utoronto.ca/secretariat/biography/imran-khan","No qualifying bridge was found to the certified 2026 trustee candidate; the common name makes a name-only merge unsafe."
can_f41f04d241c35894a49f580c4eaab821,can_c565ec043a5f556188eb90e0ddef921e,retain_hold,"The federal occurrences form one prior identity but the current trustee filing has no contact or biographical anchor connecting it to that person.","https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json|https://www.elections.ca/res/rep/off/ovr_2026/64/data_donnees/pollresults_resultatsbureau35112.csv|https://governingcouncil.utoronto.ca/secretariat/biography/imran-khan","No qualifying bridge was found to the certified 2026 trustee candidate; the common name makes a name-only merge unsafe."
can_f6cdb98f716f5927a6d7702be80db45f,can_cf3257260fe8589cad2393471df11546,retain_hold,"Official sources establish the prior federal and trustee identity but the current filing supplies no identifier connecting it to that person.","https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json|https://www.elections.ca/Scripts/VIS/HistoricalResults/35095_e.html|https://www.toronto.ca/wp-content/uploads/2018/10/97da-2018clerksofficialdeclarationofresults.pdf","No qualifying bridge was found from the established prior identity to the certified 2026 candidate."
can_f6cdb98f716f5927a6d7702be80db45f,can_ba89c67ab744583e8d3019b18ba60708,retain_hold,"Official sources establish the prior federal and trustee identity but the current filing supplies no identifier connecting it to that person.","https://www.toronto.ca/data/elections/candidate_list/trusteeCandidates_2026.json|https://www.toronto.ca/wp-content/uploads/2018/10/97da-2018clerksofficialdeclarationofresults.pdf|https://www.elections.ca/Scripts/VIS/HistoricalResults/35095_e.html","No qualifying bridge was found from the established prior identity to the certified 2026 candidate."
can_d8004d3122615bda892d893bba4560ee,can_63470f76c7585d6b9267f04f1786f56c,upgrade_to_confirm,"Beach Metro explicitly identifies the longtime TCDSB trustee as the PC candidate who ran in Don Valley East in 2007.","https://elections.ontarioschooltrustees.org/2022Election/Query.aspx?board=Toronto+Catholic+District+School+Board&lang=en|https://beachmetro.com/2022/05/03/provincial-election-2022-angela-kennedy-to-run-for-progressive-conservatives-in-beaches-east-york-riding/|https://results.elections.on.ca/api/report-groups/4/report-outputs/510/csv","Reputable contemporary coverage supplies the explicit cross-office and election-year bridge."
can_d8004d3122615bda892d893bba4560ee,can_0d3a7e78c07d5748ac0f0d9902bd153a,upgrade_to_confirm,"The 2014 OASIS and candidate guides identify the Don Valley East PC candidate as a registered nurse and four-term TCDSB trustee.","https://elections.ontarioschooltrustees.org/2022Election/Query.aspx?board=Toronto+Catholic+District+School+Board&lang=en|https://oasisonline.ca/wp-content/uploads/OASIS%20One%20Voice%20Kit%20-%202014%20Ontario%20General%20Election.pdf|https://cltoronto.ca/wp-content/uploads/2014/05/Toronto-Candidates-and-Ridings.pdf|https://results.elections.on.ca/api/report-groups/2/report-outputs/488/csv","Contemporaneous institutional election guides explicitly connect the 2014 provincial candidate to the trustee identity."
